"","text","yearweek"
"211","yankee stadium  become mass coronavirus vaccination site",202102
"212","sleepy joe says hell b layin  2day  vaccination amp economic rescue package 2 beat coronavirussince hes  hidin   basement 4 almost 1 yr hes clueless  pres trump  already done    abovegive credit   deserves itpres trump amp",202102
"213","stefano boeri designs prefabricated vaccination pavilions  1500 italian squaresvia",202102
"214","unsanitized  great race  vaccination versus mutation",202102
"215"," pit  administer covid vaccines  site  vaccinate  estimated 3000 people  day 

",202102
"216","watch linn co public health leaders  holding  presser regarding linn county covid19 vaccination effos

",202102
"217","state  open first mass coronavirus vaccination site  gillette stadium",202102
"218","dont hide   democratsafter receiving  coronavirus vaccine   safe  see friends  family

",202102
"219","disneyland  serve  mass covid19 vaccination site  monumental task says county supervisor",202102
"220","local news

   age 65  older   like  get  covid19 vaccination please preregister using  link 
 
gulf county

 
  information   covid19 vaccines  can visit 

",202102
"221","la officials  going  pull  plug  coronavirus testing  dodgerstadium  weekand conve    vaccination site insteadcapable  giving 12000 shots per day",202102
"222"," concern   spread   uk strain   coronavirus   reason  expanding  vaccination eligibility",202102
"223","great  see spos  enteainment venues  activated   vaccine push",202102
"224"," world health organization   warned  social distancing measures  need  stay  place   rest   year even  vaccination rollouts get  way globally   takes time  build  herd immunity
",202102
"225","covid19 vaccine mega center opens  fair park  dallas coronavirus",202102
"226","covid19 vaccine mega center opens  fair park  dallasvia",202102
"227","  monday  said 2067900 doses   distributed across texas   877815 doses   administered  texans 
 texas covid19 covidvaccine",202102
"228","connecticut showing us    priority groups without wasting doses

cc",202102
"229","vaccination plan   working former fda official warns

",202102
"230","level 1b  set per rule   hud senior aptmeans   included now put  1c level instead probably  many areas read  rule done dec 2  sous coronavirus vaccination plan  working former fda official warnscnn",202102
"231","city announces 2 coronavirus mass vaccination sites  staten island one opens wednesday",202102
"232","mega covid19 vaccination center opening  dallas today  fair park 140000 residents  registered judge clay jenkins expects  get  around 14000  week   sites  requested  doses   state ",202102
"233","live blog national guard members assisting  piedmont vaccination appointments fill quicklywxii12 winstonsalem",202102
"234","come  panj  can  better",202101
"235","israeli authorities  lock  country   third time despite  coronavirus vaccination drive",202101
"236","louisiana officials figured  biggest problem facing  state   mass covid vaccination effo    lack  dosesand  take  deep dive   really went wrongvialalege lagov",202101
"237"," quickly curb  pandemic    calls  change  vaccination process dr fauci  adamantly opposed   idea
 ampvia 
 
engagevotersus covid19 vaccine",202101
"238","michigan covid19 vaccination timeline 

michigan covid19 vaccine website 

prioritization guidance 

faq 

covid19",202101
"239","kchd shifting priority  vaccination changing contact tracing strategy
",202101
"240","  second covid19 vaccination dose one local doctor suffered  side effects
  toldfriday night onat 11pm    woh 
watch
",202101
"241","showed  covid19 vaccination process  firefighters   sacramento region including   metrofirethis helps us stay healthy   can achieve  priority  allhazardallrisk emergency service delivery   community",202101
"242","icymilink   vaccination roll  plan  pennsylvania check   tier   inlegal services  1c thanks  pba pres david schwager ",202101
"243","huge covid 19vaccination centers  open  across nyc next week

  get  covid 19 vaccine

coronavirus coronavirusuk vaccinations vacunacovid19",202101
"244"," laughlin prepares  receive  covid19 vaccine  47th medical group  created  frequently asked questions page  ",202101
"245","covid19 vaccination slots  full sign  forales latest covid vaccine updates  central florida adventhealth event  oia filled  latest state numbers",202101
"246"," people get  lay around  house  day dr stephanie sterling aninfectious disease expe treats patients  oversees vaccination effos  trials

",202101
"247","lets consider
az   highest infection rate globally ampis staing spring 2021 next week
   mentionedweather vaccination  taking place soon   essential workers amp educators
amp 

",202101
"248","allegiant stadium   used  covid19 vaccination sitevegas raiders stadium coronavirus",202101
"249"," instance   ",202101
"250","historically herd immunity   reached   without  vaccine  8 months
",202101
"251"," receiving  2nd dose  thevaccine 

     date info  bchs vaccination clinic visit",202101
"252","tells federal government  pick   pace  deliver vaccines story   impoant details  next steps byfor
",202101
"253","vaccination appointments   urgent care    phase 1b  fullvaccine covid19 coronavirus stcn southtexascommunitynewsvaccine roll  continues  south texas",202101
"254"," need 

 county  high incidence tn 
ran    initial doses  vaccine last friday  completing  vaccination     first tier  priority  inoculations

fauci says us needs  time  catch   vaccine rollout",202101
"255","dr norman c francis  named street   vaccine   one week

dr norman c francis former first lady  new orleans sybil morial  alden mcdonald libey bank  rolled   sleeves  received  1st vaccination yesterday

",202101
"256","maricopa county  enter phase 1b covid19 vaccination stage next monday",202101
"257","first responders  next  receive  covid19 vaccination  updates   status   vaccine distribution click   register

",202101
"258","  early  fun morning helping allowviewers  seeamp hear from2icu docs   received  2nd dose   recently approved pfizerbiontech covid19 vaccine en route  immunity
coronavirus pandemic nbc",202101
"259","   feeling   arrival   covid19 vaccine nervous hopeful one mckinney assisted living facility   excited  turned  vaccination clinic   pay check   onat 10",202101
"260","floridahad  tense exchange  arepoer  monday  tuesday  met   hospital ceo  tampa  announced  new coronavirus vaccination plan without informing local news outlets   stops",202101
"261"," get  vaccinationtomorrow 

covid phoenix arizona covid19 coronavirus",202101
"262","good morning sweet babiesim getting  vaccinationtoday

covid phoenix arizona covid19 coronavirus",202101
"263","  like  know  people  california hospitals  coronavirus cant get vaccinated     virus   vaccination  work   thank ",202101
"264","frustratinglyhas one   slowest vaccine roll outs   countrysimpler categories  standing  state vaccination sites  help speed things upspeed  impoant ",202101
"265","iowa vaccination rate  national average",202101
"266","wtop dc sets covid19 vaccination target dates


via",202101
"267","iowa vaccination rate  national average despite criticism  slow rollout 
",202101
"268","anger frustration growing  georgia covid vaccination effo coronavirus",202101
"269","jordan health   news read  jordan health staff vaccination  covid19",202101
"270","covid19 vaccines  arrived  central florida   eligible  receive one



covid19 covid19vaccine orlando healthcareheroes",202101
"271"," broadbent arena preparing   press conference wandthe arena  opening  morning   first mass vaccination drivethru site   city first   list   coronavirus vaccine   healthcare workers amp first responders",202101
"272","first day  getting vaccine shots  arms  raymond james stadium parking lot",202109
"273","margaret received  kidney transplant last year  received  covid19 vaccination today  decided  get  vaccine  getting sick  coronavirus",202109
"274","  getting thisfrom  associated press 
  us vaccination drive picking  speed   third vaccine formula   way states eager  reopen  business  easing coronavirus restrictions",202109
"275","confirmed    signing  executive order  opens  vaccination  florida  k12 teachers law enforcement officers  firefighters ages 50  ",202109
"276","    appointments  coronavirus vaccine  publix pharmacy  palm beach county  wednesday february 24th

vaccination appointments  available  scheduled online  appointments   made  callingor  publix pharmacy",202108
"277","long term care facilities house   vulnerable population   coronavirus  increased vaccination distribution  noh s  reached 99 full vaccinations  residents 
 talked  belmont village tule creek  reaching near 100",202109
"278","received  first coronavirus vaccination  afternoon thank youand  everyone involved   research  rollout   covid19 vaccine",202108
